state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,village_code,village_name,pincode,source_file
ANDAMAN-AND-NICOBAR-ISLANDS,Andaman & Nicobar Islands,ANDAMAN-AND-NICOBAR-ISLANDS-NICOBAR,Nicobar,,,,,,geo-postal-raw-citypopulation.csv
ANDAMAN-AND-NICOBAR-ISLANDS,Andaman & Nicobar Islands,ANDAMAN-AND-NICOBAR-ISLANDS-NORTH-AND-MIDDLE-ANDAMAN,North & Middle Andaman,,,,,,geo-postal-raw-citypopulation.csv
ANDAMAN-AND-NICOBAR-ISLANDS,Andaman & Nicobar Islands,ANDAMAN-AND-NICOBAR-ISLANDS-SOUTH-ANDAMAN,South Andaman,,,,,,geo-postal-raw-citypopulation.csv
ANDAMAN-AND-NICOBAR-ISLANDS,Andaman & Nicobar Islands,ANDAMAN-AND-NICOBAR-ISLANDS-NICOBAR,Nicobar,,,,,,geo-postal-raw-citypopulation.csv
ANDAMAN-AND-NICOBAR-ISLANDS,Andaman & Nicobar Islands,ANDAMAN-AND-NICOBAR-ISLANDS-NICOBAR,Nicobar,ANDAMAN-AND-NICOBAR-ISLANDS-NICOBAR-CAR-NICOBAR,Car Nicobar,,,,geo-postal-raw-citypopulation.csv
ANDAMAN-AND-NICOBAR-ISLANDS,Andaman & Nicobar Islands,ANDAMAN-AND-NICOBAR-ISLANDS-NICOBAR,Nicobar,ANDAMAN-AND-NICOBAR-ISLANDS-NICOBAR-GREAT-NICOBAR,Great Nicobar,,,,geo-postal-raw-citypopulation.csv
ANDAMAN-AND-NICOBAR-ISLANDS,Andaman & Nicobar Islands,ANDAMAN-AND-NICOBAR-ISLANDS-NICOBAR,Nicobar,ANDAMAN-AND-NICOBAR-ISLANDS-NICOBAR-NANCOWRY,Nancowry,,,,geo-postal-raw-citypopulation.csv
ANDAMAN-AND-NICOBAR-ISLANDS,Andaman & Nicobar Islands,ANDAMAN-AND-NICOBAR-ISLANDS-NORTH-AND-MIDDLE-ANDAMAN,North & Middle Andaman,,,,,,geo-postal-raw-citypopulation.csv
ANDAMAN-AND-NICOBAR-ISLANDS,Andaman & Nicobar Islands,ANDAMAN-AND-NICOBAR-ISLANDS-NORTH-AND-MIDDLE-ANDAMAN,North & Middle Andaman,ANDAMAN-AND-NICOBAR-ISLANDS-NORTH-AND-MIDDLE-ANDAMAN-DIGLIPUR,Diglipur,,,,geo-postal-raw-citypopulation.csv
ANDAMAN-AND-NICOBAR-ISLANDS,Andaman & Nicobar Islands,ANDAMAN-AND-NICOBAR-ISLANDS-NORTH-AND-MIDDLE-ANDAMAN,North & Middle Andaman,ANDAMAN-AND-NICOBAR-ISLANDS-NORTH-AND-MIDDLE-ANDAMAN-MAYABUNDER,Mayabunder,,,,geo-postal-raw-citypopulation.csv
